PassengerId,Prediction,RunDate
1179,0,2024-08-27
1180,0,2024-08-27
1181,0,2024-08-27
1182,0,2024-08-27
1183,1,2024-08-27
1184,0,2024-08-27
1185,0,2024-08-27
1186,0,2024-08-27
1187,0,2024-08-27
1188,1,2024-08-27
1189,0,2024-08-27
1190,0,2024-08-27
1191,0,2024-08-27
1192,0,2024-08-27
1193,0,2024-08-27
1194,0,2024-08-27
1195,0,2024-08-27
1196,1,2024-08-27
1197,1,2024-08-27
1198,0,2024-08-27
1199,1,2024-08-27
1200,0,2024-08-27
1201,1,2024-08-27
1202,0,2024-08-27
1203,0,2024-08-27
1204,0,2024-08-27
1205,1,2024-08-27
1206,1,2024-08-27
1207,1,2024-08-27
1208,0,2024-08-27
1209,0,2024-08-27
1210,0,2024-08-27
1211,0,2024-08-27
1212,0,2024-08-27
1213,0,2024-08-27
1214,0,2024-08-27
1215,0,2024-08-27
1216,1,2024-08-27
1217,0,2024-08-27
1218,1,2024-08-27
1219,0,2024-08-27
1220,0,2024-08-27
1221,0,2024-08-27
1222,1,2024-08-27
1223,0,2024-08-27
1224,0,2024-08-27
1225,1,2024-08-27
1226,0,2024-08-27
1227,0,2024-08-27
1228,0,2024-08-27
1229,0,2024-08-27
1230,0,2024-08-27
1231,1,2024-08-27
1232,0,2024-08-27
1233,0,2024-08-27
1234,0,2024-08-27
1235,1,2024-08-27
1236,1,2024-08-27
1237,1,2024-08-27
1238,0,2024-08-27
1239,1,2024-08-27
1240,0,2024-08-27
1241,1,2024-08-27
1242,1,2024-08-27
1243,0,2024-08-27
1244,0,2024-08-27
1245,0,2024-08-27
1246,1,2024-08-27
1247,0,2024-08-27
1248,1,2024-08-27
1249,0,2024-08-27
1250,0,2024-08-27
1251,1,2024-08-27
1252,1,2024-08-27
1253,1,2024-08-27
1254,1,2024-08-27
1255,0,2024-08-27
1256,1,2024-08-27
1257,1,2024-08-27
1258,0,2024-08-27
1259,1,2024-08-27
1260,1,2024-08-27
1261,0,2024-08-27
1262,0,2024-08-27
1263,1,2024-08-27
1264,0,2024-08-27
1265,0,2024-08-27
1266,1,2024-08-27
1267,1,2024-08-27
1268,1,2024-08-27
1269,0,2024-08-27
1270,0,2024-08-27
1271,1,2024-08-27
1272,0,2024-08-27
1273,0,2024-08-27
1274,1,2024-08-27
1275,1,2024-08-27
1276,0,2024-08-27
1277,1,2024-08-27
1278,0,2024-08-27
1279,0,2024-08-27
1280,0,2024-08-27
1281,1,2024-08-27
1282,0,2024-08-27
1283,1,2024-08-27
1284,1,2024-08-27
1285,0,2024-08-27
1286,0,2024-08-27
1287,1,2024-08-27
1288,0,2024-08-27
1289,1,2024-08-27
1290,0,2024-08-27
1291,0,2024-08-27
1292,1,2024-08-27
1293,0,2024-08-27
1294,1,2024-08-27
1295,0,2024-08-27
1296,0,2024-08-27
1297,0,2024-08-27
1298,0,2024-08-27
1299,0,2024-08-27
1300,1,2024-08-27
1301,1,2024-08-27
1302,1,2024-08-27
1303,1,2024-08-27
1304,1,2024-08-27
1305,0,2024-08-27
1306,1,2024-08-27
1307,0,2024-08-27
1308,0,2024-08-27
1309,1,2024-08-27
